,Quarter,Tm,Detail,ATL,RAM
0,1.0,Rams,Willie Ellison 1 yard rush (David Ray kick),0,7
1,2.0,Rams,David Ray 36 yard field goal,0,10
2,2.0,Falcons,Dave Hampton 4 yard pass from Bob Berry (Bill Bell kick),7,10
3,3.0,Rams,Jim Bertelsen 7 yard rush (David Ray kick),7,17
4,4.0,Rams,David Ray 15 yard field goal,7,20
