,Quarter,Tm,Detail,SFO,RAM
0,2.0,Rams,George Farmer 13 yard pass from Vince Ferragamo (Chuck Nelson kick),0,7
1,2.0,49ers,Roger Craig 4 yard rush (Ray Wersching kick),7,7
2,2.0,Rams,James McDonald 1 yard pass from Vince Ferragamo (Chuck Nelson kick),7,14
3,2.0,49ers,Dwight Clark 15 yard pass from Joe Montana (Ray Wersching kick),14,14
4,2.0,Rams,Eric Dickerson 37 yard pass from Vince Ferragamo (Chuck Nelson kick),14,21
5,3.0,49ers,Ray Wersching 30 yard field goal,17,21
6,3.0,Rams,Eric Dickerson 10 yard pass from Vince Ferragamo (Chuck Nelson kick),17,28
7,4.0,49ers,Renaldo Nehemiah 11 yard pass from Joe Montana (Ray Wersching kick),24,28
8,4.0,Rams,Mike Barber 17 yard pass from Vince Ferragamo (Chuck Nelson kick),24,35
9,4.0,49ers,Dwight Clark 46 yard pass from Joe Montana (Ray Wersching kick),31,35
10,4.0,49ers,Dwaine Board defensive fumble recovery in end zone (Ray Wersching kick),38,35
11,4.0,49ers,Bill Ring 4 yard rush (Ray Wersching kick),45,35
