,Quarter,Tm,Detail,PHO,ATL
0,1.0,Falcons,Greg Davis 41 yard field goal,0,3
1,2.0,Cardinals,Ricky Proehl 45 yard pass from Timm Rosenbach (Al Del Greco kick),7,3
2,2.0,Falcons,Gary Wilkins 20 yard pass from Scott Campbell (Greg Davis kick),7,10
3,2.0,Cardinals,Al Del Greco 37 yard field goal,10,10
4,3.0,Cardinals,Anthony Thompson 1 yard rush (Al Del Greco kick),17,10
5,4.0,Falcons,Greg Davis 24 yard field goal,17,13
6,4.0,Cardinals,Marcus Turner 47 yard interception return (Al Del Greco kick),24,13
