,Quarter,Time,Tm,Detail,CHI,GNB
0,1.0,8:53,Packers,Mason Crosby 32 yard field goal,0,3
1,2.0,1:56,Bears,Connor Barth 39 yard field goal,3,3
2,2.0,0:17,Packers,Mason Crosby 40 yard field goal,3,6
3,3.0,14:30,Bears,Leonard Floyd defensive fumble recovery in end zone (Connor Barth kick),10,6
4,3.0,9:11,Packers,Davante Adams 5 yard pass from Aaron Rodgers (Mason Crosby kick),10,13
5,4.0,14:55,Packers,Davante Adams 4 yard pass from Aaron Rodgers (Mason Crosby kick),10,20
6,4.0,5:35,Packers,Randall Cobb 2 yard pass from Aaron Rodgers (Mason Crosby kick failed),10,26
