,Quarter,Time,Tm,Detail,ATL,TAM
0,1.0,3:48,Buccaneers,Mike Evans 19 yard pass from Jameis Winston (Cairo Santos kick),0,7
1,2.0,8:25,Buccaneers,Cairo Santos 36 yard field goal,0,10
2,2.0,0:46,Buccaneers,Chris Godwin 30 yard pass from Jameis Winston (Cairo Santos kick),0,17
3,2.0,0:20,Falcons,Julio Jones 19 yard pass from Matt Ryan (Matt Bryant kick),7,17
4,3.0,8:49,Falcons,Matt Ryan 5 yard pass from Mohamed Sanu (Matt Bryant kick),14,17
5,3.0,6:39,Buccaneers,Cairo Santos 45 yard field goal,14,20
6,3.0,1:59,Falcons,Matt Bryant 49 yard field goal,17,20
7,3.0,0:44,Falcons,Tevin Coleman 23 yard rush (Matt Bryant kick),24,20
8,4.0,10:51,Falcons,Calvin Ridley 7 yard pass from Matt Ryan (Matt Bryant kick),31,20
9,4.0,8:09,Buccaneers,Mike Evans 10 yard pass from Jameis Winston (pass failed),31,26
10,4.0,5:10,Buccaneers,Chris Godwin 19 yard pass from Jameis Winston (pass failed),31,32
11,4.0,0:00,Falcons,Matt Bryant 37 yard field goal,34,32
