,Quarter,Tm,Detail,NYG,PHI
0,2.0,Giants,Joe Pisarcik 1 yard rush (Joe Danelo kick),7,0
1,2.0,Eagles,Nick Mike-Mayer 25 yard field goal,7,3
2,3.0,Eagles,Wilbert Montgomery 99 yard kickoff return (Nick Mike-Mayer kick),7,10
3,4.0,Giants,Larry Csonka 1 yard rush (Joe Danelo kick),14,10
4,4.0,Eagles,Ron Jaworski 1 yard rush (Nick Mike-Mayer kick),14,17
