,Quarter,Tm,Detail,RAM,BAL
0,1.0,Rams,Les Richter 9 yard field goal,3,0
1,3.0,Colts,Bert Rechichar 32 yard field goal,3,3
2,3.0,Colts,Alan Ameche 1 yard rush (Bert Rechichar kick),3,10
3,3.0,Rams,Tank Younger 1 yard rush (Les Richter kick),10,10
4,4.0,Colts,Jim Mutscheller 43 yard pass from George Shaw (Bert Rechichar kick),10,17
5,4.0,Rams,Ron Waller 1 yard rush (Les Richter kick),17,17
