,Quarter,Tm,Detail,MIN,MIA
0,1.0,Dolphins,Larry Csonka 5 yard rush (Garo Yepremian kick),0,7
1,1.0,Dolphins,Jim Kiick 1 yard rush (Garo Yepremian kick),0,14
2,2.0,Dolphins,Garo Yepremian 28 yard field goal,0,17
3,3.0,Dolphins,Larry Csonka 2 yard rush (Garo Yepremian kick),0,24
4,4.0,Vikings,Fran Tarkenton 4 yard rush (Fred Cox kick),7,24
