,Quarter,Tm,Detail,WAS,RAM
0,1.0,Redskins,Chip Lohmiller 19 yard field goal,3,0
1,3.0,Redskins,Chip Lohmiller 34 yard field goal,6,0
2,4.0,Rams,Troy Drayton 25 yard pass from T.J. Rubley (Tony Zendejas kick),6,7
3,4.0,Rams,Tony Zendejas 23 yard field goal,6,10
