,Quarter,Time,Tm,Detail,KAN,SDG
0,1.0,,Chargers,Terrell Fletcher 4 yard rush (John Carney kick),0,7
1,1.0,,Chiefs,Derrick Alexander 35 yard pass from Rich Gannon (Pete Stoyanovich kick),7,7
2,2.0,,Chargers,Tremayne Stephens 2 yard rush (John Carney kick),7,14
3,2.0,,Chargers,John Carney 31 yard field goal,7,17
4,2.0,,Chiefs,Bam Morris 2 yard rush (Pete Stoyanovich kick),14,17
5,3.0,,Chiefs,Bam Morris 1 yard rush (Pete Stoyanovich kick),21,17
6,3.0,,Chiefs,Pete Stoyanovich 27 yard field goal,24,17
7,3.0,,Chiefs,Pete Stoyanovich 42 yard field goal,27,17
8,4.0,,Chiefs,Bam Morris 3 yard rush (Pete Stoyanovich kick),34,17
9,4.0,,Chargers,Terrell Fletcher 4 yard rush (John Carney kick),34,24
10,4.0,,Chiefs,Pete Stoyanovich 50 yard field goal,37,24
11,4.0,,Chargers,Freddie Jones 25 yard pass from Craig Whelihan (John Carney kick),37,31
12,4.0,0:12,Chargers,Charlie Jones 1 yard pass from Craig Whelihan (John Carney kick),37,38
