,Quarter,Tm,Detail,KAN,STL
0,1.0,Cardinals,Roy Green 5 yard pass from Neil Lomax,0,6
1,2.0,Cardinals,Eric Schubert 20 yard field goal,0,9
2,3.0,Cardinals,J.T. Smith 25 yard pass from Neil Lomax (Eric Schubert kick),0,16
3,4.0,Cardinals,J.T. Smith 4 yard pass from Neil Lomax (Eric Schubert kick),0,23
4,4.0,Chiefs,Stephone Paige 6 yard pass from Bill Kenney (Nick Lowery kick),7,23
5,4.0,Chiefs,Stephone Paige 13 yard pass from Bill Kenney (Nick Lowery kick),14,23
