,Quarter,Time,Tm,Detail,PIT,TEN
0,1.0,8:58,Steelers,Kris Brown 39 yard field goal,3,0
1,1.0,8:40,Titans,Kevin Dyson 68 yard pass from Steve McNair (Joe Nedney kick),3,7
2,2.0,4:03,Titans,Frank Wycheck 4 yard pass from Steve McNair (Joe Nedney kick),3,14
3,2.0,0:15,Steelers,Plaxico Burress 4 yard pass from Kordell Stewart (Kris Brown kick),10,14
4,3.0,12:39,Steelers,Kordell Stewart 48 yard rush (Kris Brown kick),17,14
5,3.0,7:46,Titans,Joe Nedney 49 yard field goal,17,17
6,3.0,6:40,Steelers,Amos Zereoue 25 yard pass from Kordell Stewart (Kris Brown kick),24,17
7,4.0,14:47,Steelers,Kris Brown 37 yard field goal,27,17
8,4.0,8:23,Titans,Steve McNair 1 yard rush (Joe Nedney kick),27,24
9,4.0,3:23,Steelers,Chad Scott 45 yard interception return (Kris Brown kick),34,24
