,Quarter,Tm,Detail,DET,PIT
0,1.0,Steelers,Ernie Mills 11 yard pass from Neil O'Donnell (Gary Anderson kick),0,7
1,2.0,Steelers,Gary Anderson 20 yard field goal,0,10
2,2.0,Lions,Willie Green 73 yard pass from Erik Kramer (Jason Hanson kick),7,10
3,4.0,Lions,Barry Sanders 1 yard rush (Jason Hanson kick),14,10
4,4.0,Steelers,Tim Jorden 1 yard pass from Bubby Brister (Gary Anderson kick),14,17
