,Quarter,Time,Tm,Detail,SEA,PIT
0,2.0,14:47,Steelers,James Conner 1 yard rush (Chris Boswell kick),0,7
1,2.0,8:45,Seahawks,Will Dissly 14 yard pass from Russell Wilson (Jason Myers kick),7,7
2,2.0,2:32,Steelers,Chris Boswell 41 yard field goal,7,10
3,3.0,9:54,Seahawks,Will Dissly 12 yard pass from Russell Wilson (Jason Myers kick),14,10
4,3.0,6:25,Steelers,Chris Boswell 33 yard field goal,14,13
5,3.0,3:04,Seahawks,Rashaad Penny 37 yard rush (Jason Myers kick),21,13
6,4.0,11:23,Steelers,Vance McDonald 8 yard pass from Mason Rudolph (pass failed),21,19
7,4.0,7:22,Seahawks,D.K. Metcalf 28 yard pass from Russell Wilson (Jason Myers kick),28,19
8,4.0,5:37,Steelers,Vance McDonald 3 yard pass from Mason Rudolph (Chris Boswell kick),28,26
