,Quarter,Tm,Detail,DET,PHI
0,1.0,Eagles,Cliff Patton 23 yard field goal,0,3
1,2.0,Eagles,Pete Pihos 10 yard pass from Tommy Thompson (Cliff Patton kick),0,10
2,2.0,Eagles,Jack Ferrante 66 yard pass from Tommy Thompson (Cliff Patton kick),0,17
3,2.0,Lions,Bill Dudley 4 yard pass from Clyde LeForce (Merv Pregulman kick),7,17
4,3.0,Lions,Bill Dudley 10 yard pass from Clyde LeForce (Merv Pregulman kick),14,17
5,3.0,Eagles,Steve Van Buren 16 yard rush (Cliff Patton kick),14,24
6,4.0,Lions,John Greene 38 yard pass from Clyde LeForce (Merv Pregulman kick),21,24
7,4.0,Eagles,Jack Ferrante 15 yard pass from Tommy Thompson (Cliff Patton kick),21,31
8,4.0,Eagles,Jim Parmer 42 yard rush (Cliff Patton kick),21,38
9,4.0,Eagles,Jack Ferrante 23 yard pass from Tommy Thompson (Cliff Patton kick),21,45
