,Quarter,Time,Tm,Detail,CAR,STL
0,2.0,,Rams,Chip Lohmiller 41 yard field goal,0,3
1,2.0,,Panthers,John Kasay 38 yard field goal,3,3
2,2.0,,Rams,Lawrence Phillips 11 yard pass from Tony Banks (Chip Lohmiller kick),3,10
3,3.0,,Panthers,Wesley Walls 9 yard pass from Steve Beuerlein (John Kasay kick),10,10
4,3.0,,Panthers,Anthony Johnson 7 yard rush (John Kasay kick),17,10
5,4.0,,Panthers,John Kasay 34 yard field goal,20,10
