,Quarter,Tm,Detail,BCL,NYY
0,1.0,Yanks,Sherman Howard 53 yard rush (Chet Adams kick),0,7
1,1.0,Yanks,Art Weiner 14 yard pass from George Ratterman (Chet Adams kick),0,14
2,2.0,Colts,Y.A. Tittle 3 yard rush (Veto Kissell kick),7,14
3,2.0,Yanks,Zollie Toth 2 yard rush (Chet Adams kick),7,21
4,2.0,Colts,Y.A. Tittle 1 yard rush (Veto Kissell kick),14,21
5,3.0,Yanks,Joe Golding 35 yard interception return (Chet Adams kick),14,28
6,3.0,Yanks,George Taliaferro 27 yard rush (Chet Adams kick),14,35
7,4.0,Yanks,"Safety, Burk tackled in end zone by Champion",14,37
8,4.0,Yanks,George Taliaferro 10 yard pass from John Rauch (Chet Adams kick),14,44
9,4.0,Yanks,Zollie Toth 16 yard pass from John Rauch (Chet Adams kick),14,51
