,Quarter,Time,Tm,Detail,IND,PIT
0,1.0,,Colts,Cary Blanchard 34 yard field goal,3,0
1,1.0,,Steelers,Norm Johnson 31 yard field goal,3,3
2,2.0,,Colts,Cary Blanchard 36 yard field goal,6,3
3,2.0,,Steelers,Kordell Stewart 5 yard pass from Neil O'Donnell (Norm Johnson kick),6,10
4,3.0,,Colts,Cary Blanchard 37 yard field goal,9,10
5,3.0,,Steelers,Norm Johnson 36 yard field goal,9,13
6,4.0,,Colts,Floyd Turner 47 yard pass from Jim Harbaugh (Cary Blanchard kick),16,13
7,4.0,,Steelers,Bam Morris 1 yard rush (Norm Johnson kick),16,20
