,Quarter,Time,Tm,Detail,PIT,SFO
0,1.0,7:29,Steelers,Jerome Bettis 1 yard rush (Kris Brown kick),7,0
1,1.0,5:09,49ers,Wade Richey 19 yard field goal,7,3
2,1.0,2:52,Steelers,Hines Ward 13 yard pass from Kordell Stewart (Kris Brown kick),14,3
3,2.0,14:51,Steelers,Kris Brown 28 yard field goal,17,3
4,2.0,6:53,49ers,Wade Richey 20 yard field goal,17,6
5,3.0,3:41,Steelers,Kris Brown 38 yard field goal,20,6
6,4.0,3:15,Steelers,Jerome Bettis 22 yard rush (Kris Brown kick),27,6
