,Quarter,Time,Tm,Detail,DEN,BAL
0,2.0,11:43,Ravens,Jamal Lewis 1 yard rush (Matt Stover kick),0,7
1,2.0,4:31,Broncos,Jason Elam 31 yard field goal,3,7
2,2.0,4:06,Ravens,Shannon Sharpe 58 yard pass from Trent Dilfer (Matt Stover kick),3,14
3,3.0,3:19,Ravens,Jamal Lewis 27 yard rush (Matt Stover kick),3,21
