,Quarter,Tm,Detail,DEN,SDG
0,2.0,Chargers,Rolf Benirschke 30 yard field goal,0,3
1,2.0,Chargers,Rolf Benirschke 34 yard field goal,0,6
2,2.0,Broncos,Rob Lytle 3 yard rush (Fred Steinfort kick),7,6
3,3.0,Broncos,Fred Steinfort 28 yard field goal,10,6
4,3.0,Broncos,Fred Steinfort 42 yard field goal,13,6
5,4.0,Broncos,Dave Preston 4 yard rush (Fred Steinfort kick),20,6
6,4.0,Chargers,John Jefferson 3 yard pass from Dan Fouts (Rolf Benirschke kick),20,13
