,Quarter,Tm,Detail,CHI,PRT
0,1.0,Spartans,Ernie Caddel 6 yard pass from Glenn Presnell (Glenn Presnell kick),0,7
1,1.0,Bears,Bill Hewitt 12 yard pass from Keith Molesworth (Jack Manders kick),7,7
2,3.0,Bears,Jack Manders 20 yard field goal,10,7
3,4.0,Bears,Keith Molesworth 27 yard pass from Red Grange (Jack Manders kick),17,7
