,Quarter,Tm,Detail,MIN,PIT
0,1.0,Steelers,John Henry Johnson 2 yard rush (Lou Michaels kick),0,7
1,2.0,Steelers,Joe Womack 3 yard rush (Lou Michaels kick),0,14
2,2.0,Vikings,Tommy Mason 37 yard pass from Fran Tarkenton (Jim Christopherson kick),7,14
3,2.0,Vikings,Charley Ferguson 19 yard pass from Fran Tarkenton (Jim Christopherson kick),14,14
4,3.0,Steelers,"Safety, Huth recovered fumble in end zone",14,16
5,3.0,Steelers,Lou Michaels 32 yard field goal,14,19
6,3.0,Steelers,John Henry Johnson 2 yard rush (Lou Michaels kick),14,26
7,3.0,Vikings,Jerry Reichow 4 yard pass from Fran Tarkenton (Jim Christopherson kick),21,26
8,4.0,Steelers,Lou Michaels 38 yard field goal,21,29
9,4.0,Vikings,Charley Ferguson 59 yard pass from Fran Tarkenton (Jim Christopherson kick),28,29
10,4.0,Vikings,Jim Christopherson 42 yard field goal,31,29
11,4.0,Steelers,Lou Michaels 31 yard field goal,31,32
12,4.0,Steelers,Dick Hoak 16 yard rush (Lou Michaels kick),31,39
