,Quarter,Tm,Detail,DET,GNB
0,1.0,Packers,Tony Canadeo 5 yard rush (Ted Fritsch kick),0,7
1,1.0,Lions,Doak Walker 38 yard field goal,3,7
2,1.0,Lions,John Greene 1 yard fumble return,9,7
3,2.0,Lions,Cloyce Box 50 yard pass from Bobby Layne (Doak Walker kick),16,7
4,2.0,Lions,Clarence Self 56 yard interception return,22,7
5,3.0,Lions,Ollie Cline 10 yard rush,28,7
6,3.0,Lions,Wally Triplett 18 yard fumble return (Doak Walker kick),35,7
7,3.0,Lions,Doak Walker 33 yard field goal,38,7
8,4.0,Lions,Lindy Pearson 2 yard rush (Doak Walker kick),45,7
