,Quarter,Time,Tm,Detail,TAM,DET
0,1.0,,Lions,David Sloan 17 yard pass from Scott Mitchell (Jason Hanson kick),0,7
1,1.0,,Buccaneers,Trent Dilfer 7 yard rush (Michael Husted kick),7,7
2,2.0,,Buccaneers,Michael Husted 34 yard field goal,10,7
3,2.0,,Lions,Barry Sanders 55 yard rush (Jason Hanson kick),10,14
4,2.0,,Buccaneers,Jerry Ellison 36 yard rush (Michael Husted kick),17,14
5,3.0,,Lions,Jason Hanson 29 yard field goal,17,17
6,4.0,,Lions,Jason Hanson 18 yard field goal,17,20
7,4.0,,Lions,Scott Mitchell 1 yard rush (Jason Hanson kick),17,27
8,4.0,,Buccaneers,Jerry Ellison 1 yard rush (Michael Husted kick),24,27
