,Quarter,Tm,Detail,STL,DAL
0,1.0,Cardinals,Doug Marsh 20 yard pass from Neil Lomax (Neil O'Donoghue kick),7,0
1,1.0,Cowboys,Tony Dorsett 31 yard rush (Rafael Septien kick),7,7
2,2.0,Cowboys,Rafael Septien 35 yard field goal,7,10
3,2.0,Cardinals,Stump Mitchell 3 yard rush (Neil O'Donoghue kick),14,10
4,2.0,Cowboys,Rafael Septien 36 yard field goal,14,13
5,3.0,Cardinals,Neil O'Donoghue 22 yard field goal,17,13
6,3.0,Cardinals,Roy Green 70 yard pass from Neil Lomax (Neil O'Donoghue kick),24,13
7,3.0,Cardinals,Roy Green 45 yard pass from Neil Lomax (Neil O'Donoghue kick),31,13
8,4.0,Cowboys,Fred Cornwell 10 yard pass from Danny White (Rafael Septien kick),31,20
