,Quarter,Tm,Detail,CLE,PIT
0,1.0,Browns,Billy Reynolds 5 yard rush (Lou Groza kick),7,0
1,1.0,Steelers,Ray Mathews 7 yard pass from Jim Finks (Paul Held kick),7,7
2,1.0,Browns,Dub Jones 37 yard pass from Otto Graham (Lou Groza kick),14,7
3,2.0,Steelers,Fran Rogel 14 yard pass from Jim Finks,14,13
4,2.0,Steelers,Jack Butler 41 yard interception return (Paul Held kick),14,20
5,2.0,Steelers,Johnny Lattner 12 yard rush (Paul Held kick),14,27
6,2.0,Browns,Dante Lavelli 29 yard pass from Otto Graham,20,27
7,2.0,Steelers,Ray Mathews 78 yard pass from Jim Finks (Paul Held kick),20,34
8,3.0,Steelers,Ray Mathews 8 yard pass from Jim Finks (Paul Held kick),20,41
9,3.0,Steelers,Ray Mathews 3 yard rush (Paul Held kick),20,48
10,4.0,Browns,Dante Lavelli 24 yard pass from Otto Graham (Lou Groza kick),27,48
11,4.0,Steelers,Russ Craft 81 yard interception return (Paul Held kick),27,55
