,Quarter,Tm,Detail,ATL,NYG
0,1.0,Falcons,Ernie Wheelwright 9 yard pass from Randy Johnson (Lou Kirouac kick),7,0
1,2.0,Giants,Pete Gogolak 24 yard field goal,7,3
2,2.0,Falcons,Vern Burke 8 yard pass from Randy Johnson,13,3
3,3.0,Falcons,Ernie Wheelwright 6 yard pass from Randy Johnson (Lou Kirouac kick),20,3
4,3.0,Giants,Joe Morrison 3 yard pass from Tom Kennedy (Pete Gogolak kick),20,10
5,4.0,Falcons,Randy Johnson 3 yard rush (Lou Kirouac kick),27,10
6,4.0,Giants,Joe Morrison 12 yard rush,27,16
