,Quarter,Time,Tm,Detail,TAM,PHI
0,2.0,10:16,Buccaneers,Martin Gramatica 29 yard field goal,3,0
1,2.0,3:21,Eagles,Donovan McNabb 5 yard rush (David Akers kick),3,7
2,2.0,0:12,Eagles,Na Brown 5 yard pass from Donovan McNabb (David Akers kick),3,14
3,4.0,14:13,Eagles,Jeff Thomason 2 yard pass from Donovan McNabb (David Akers kick),3,21
