,Quarter,Tm,Detail,SFO,WAS
0,1.0,49ers,Gordie Soltau 31 yard field goal,3,0
1,1.0,Redskins,Hugh Taylor 5 yard pass from Eddie LeBaron (George Buksar kick),3,7
2,2.0,Redskins,Gene Brito 28 yard pass from Harry Gilmer (George Buksar kick),3,14
3,3.0,49ers,Joe Perry 9 yard rush,9,14
4,3.0,Redskins,George Buksar 35 yard field goal,9,17
5,4.0,49ers,Hugh McElhenny 46 yard rush (Gordie Soltau kick),16,17
6,4.0,49ers,Billy Wilson 6 yard pass from Y.A. Tittle (Gordie Soltau kick),23,17
