,Quarter,Tm,Detail,CRD,CLE
0,1.0,Browns,Pete Brewster 23 yard pass from Otto Graham (Lou Groza kick),0,7
1,1.0,Browns,Pete Brewster 10 yard pass from Otto Graham (Lou Groza kick),0,14
2,2.0,Browns,Ray Renfro 64 yard pass from Otto Graham (Lou Groza kick),0,21
3,2.0,Browns,Maurice Bassett 14 yard rush (Lou Groza kick),0,28
4,2.0,Browns,Lou Groza 41 yard field goal,0,31
5,4.0,Cardinals,Les Goble 8 yard rush (Pat Summerall kick),7,31
