,Quarter,Tm,Detail,SFO,DAL
0,1.0,49ers,Eric Davis 4 yard defensive fumble return (Mike Cofer kick),7,0
1,1.0,Cowboys,Eddie Murray 48 yard field goal,7,3
2,1.0,49ers,Mike Cofer 25 yard field goal,10,3
3,2.0,Cowboys,Eddie Murray 39 yard field goal,10,6
4,2.0,Cowboys,Emmitt Smith 1 yard rush (Eddie Murray kick),10,13
5,2.0,Cowboys,Eddie Murray 29 yard field goal,10,16
6,3.0,49ers,Brent Jones 12 yard pass from Steve Young (Mike Cofer kick),17,16
7,3.0,Cowboys,Michael Irvin 36 yard pass from Troy Aikman (Eddie Murray kick),17,23
8,4.0,Cowboys,Eddie Murray 18 yard field goal,17,26
