,Quarter,Time,Tm,Detail,DAL,NOR
0,1.0,8:14,Cowboys,Dan Bailey 37 yard field goal,3,0
1,1.0,3:23,Saints,Marques Colston 22 yard pass from Drew Brees (Garrett Hartley kick),3,7
2,2.0,14:05,Cowboys,DeMarco Murray 7 yard rush (Dan Bailey kick),10,7
3,2.0,5:09,Saints,Pierre Thomas 1 yard pass from Drew Brees (Garrett Hartley kick),10,14
4,2.0,1:32,Saints,Darren Sproles 3 yard rush (Garrett Hartley kick),10,21
5,2.0,0:05,Saints,Darren Sproles 28 yard pass from Drew Brees (Garrett Hartley kick),10,28
6,3.0,2:12,Saints,Mark Ingram 4 yard rush (Garrett Hartley kick),10,35
7,3.0,0:41,Cowboys,Terrance Williams 21 yard pass from Tony Romo (Dan Bailey kick),17,35
8,4.0,12:43,Saints,Kenny Stills 52 yard pass from Drew Brees (Garrett Hartley kick),17,42
9,4.0,5:44,Saints,Pierre Thomas 1 yard rush (Garrett Hartley kick),17,49
