,Quarter,Tm,Detail,PHI,NWE
0,1,Eagles,Paul McFadden 19 yard field goal,3,0
1,2,Patriots,Tony Collins 24 yard pass from Tom Ramsey (Tony Franklin kick),3,7
2,2,Eagles,Mike Quick 61 yard pass from Randall Cunningham (Paul McFadden kick),10,7
3,2,Eagles,Randall Cunningham 1 yard rush (Paul McFadden kick),17,7
4,2,Patriots,Tony Franklin 21 yard field goal,17,10
5,3,Eagles,Anthony Toney 1 yard rush (Paul McFadden kick),24,10
6,4,Eagles,Mike Quick 29 yard pass from Randall Cunningham (Paul McFadden kick),31,10
7,4,Patriots,Stanley Morgan 13 yard pass from Tom Ramsey (Tony Franklin kick),31,17
8,4,Patriots,Willie Scott 3 yard pass from Tom Ramsey (Tony Franklin kick),31,24
9,4,Patriots,Tom Ramsey 1 yard rush (Tony Franklin kick),31,31
10,OT,Eagles,Paul McFadden 38 yard field goal,34,31
