,Quarter,Time,Tm,Detail,MIN,ARI
0,1.0,,Cardinals,Derek Ware 4 yard pass from Jay Schroeder (Greg Davis kick),0,7
1,2.0,,Vikings,Jake Reed 15 yard pass from Warren Moon (Fuad Reveiz kick),7,7
2,4.0,,Cardinals,Greg Davis 46 yard field goal,7,10
3,4.0,,Cardinals,Larry Centers 6 yard rush (Greg Davis kick),7,17
