,Quarter,Tm,Detail,CHI,CRD
0,1.0,Cardinals,Buddy Parker 2 yard rush (Frank Patrick kick),0,7
1,1.0,Bears,Ray Nolting 56 yard pass from Bernie Masterson (Joe Maniaci kick),7,7
2,2.0,Bears,Sam Francis 1 yard rush (Joe Maniaci kick),14,7
3,2.0,Bears,Dick Bassi 63 yard fumble return,20,7
4,3.0,Bears,Dick Plasman 47 yard pass from Bernie Masterson (Joe Maniaci kick),27,7
5,3.0,Cardinals,Bill Smith 26 yard pass from Dwight Sloan (Frank Patrick kick),27,14
6,3.0,Bears,Joe Maniaci 10 yard rush (Joe Maniaci kick),34,14
7,3.0,Cardinals,Frank Patrick 23 yard pass from Jack Robbins (Frank Patrick kick),34,21
8,4.0,Cardinals,Sam Agee 1 yard rush (Frank Patrick kick),34,28
