,Quarter,Tm,Detail,ATL,DET
0,1.0,Falcons,Greg Davis 19 yard field goal,3,0
1,2.0,Lions,Pete Mandley 7 yard pass from Chuck Long (Eddie Murray kick),3,7
2,2.0,Lions,Eddie Murray 37 yard field goal,3,10
3,3.0,Lions,Garry James 1 yard rush (Eddie Murray kick),3,17
4,3.0,Lions,George Jamison 4 yard special teams fumble return (Eddie Murray kick),3,24
5,4.0,Falcons,Alex Higdon 9 yard pass from Chris Miller (Greg Davis kick),10,24
6,4.0,Lions,Mark Lewis 1 yard pass from Chuck Long (Eddie Murray kick),10,31
7,4.0,Falcons,John Settle 2 yard rush (Greg Davis kick),17,31
