,Quarter,Tm,Detail,DEN,OAK
0,2.0,Raiders,Errol Mann 27 yard field goal,0,3
1,2.0,Raiders,Errol Mann 37 yard field goal,0,6
2,2.0,Broncos,Rob Lytle 2 yard rush (Jim Turner kick),7,6
3,3.0,Broncos,Haven Moses 14 yard pass from Craig Morton (Jim Turner kick),14,6
4,4.0,Broncos,Randy Gradishar 30 yard defensive fumble return (Jim Turner kick),21,6
