,Quarter,Tm,Detail,SDG,KAN
0,2.0,Chiefs,Nick Lowery 36 yard field goal,0,3
1,2.0,Chiefs,Nick Lowery 30 yard field goal,0,6
2,2.0,Chiefs,Todd McNair 11 yard pass from Steve DeBerg (Nick Lowery kick),0,13
3,2.0,Chargers,Andy Parker 1 yard pass from Billy Joe Tolliver (Chris Bahr kick),7,13
4,3.0,Chargers,Chris Bahr 43 yard field goal,10,13
5,4.0,Chargers,Anthony Miller 5 yard pass from Billy Joe Tolliver (Chris Bahr kick),17,13
6,4.0,Chargers,Chris Bahr 20 yard field goal,20,13
