,Quarter,Time,Tm,Detail,MIN,TAM
0,3.0,,Vikings,Eddie Murray 28 yard field goal,3,0
1,3.0,,Vikings,Charles Evans 1 yard rush (Eddie Murray kick),10,0
2,4.0,,Buccaneers,Reidel Anthony 2 yard pass from Trent Dilfer,10,6
