,Quarter,Tm,Detail,STL,DAL
0,1.0,Cowboys,Lance Rentzel 75 yard pass from Roger Staubach (Mike Clark kick),0,7
1,2.0,Cardinals,Jim Bakken 20 yard field goal,3,7
2,3.0,Cowboys,Lance Rentzel 53 yard pass from Calvin Hill (Mike Clark kick),3,14
3,4.0,Cowboys,Mike Clark 30 yard field goal,3,17
4,4.0,Cowboys,Roger Staubach 3 yard rush (Mike Clark kick),3,24
