,Quarter,Tm,Detail,PIT,DEN
0,1.0,Broncos,Willis Crenshaw 1 yard rush (Bobby Howfield kick),0,7
1,2.0,Steelers,Dick Hoak 4 yard rush (Gene Mingo kick),7,7
2,2.0,Steelers,Gene Mingo 9 yard field goal,10,7
3,3.0,Steelers,Gene Mingo 13 yard field goal,13,7
4,3.0,Broncos,"Safety, Washington tackled Bradshaw in end zone",13,9
5,3.0,Broncos,Billy Van Heusen 38 yard pass from Steve Tensi (Bobby Howfield kick),13,16
