,Quarter,Time,Tm,Detail,PIT,DEN
0,1.0,4:11,Steelers,Jeff Reed 47 yard field goal,3,0
1,2.0,14:54,Steelers,Cedrick Wilson 12 yard pass from Ben Roethlisberger (Jeff Reed kick),10,0
2,2.0,9:23,Broncos,Jason Elam 23 yard field goal,10,3
3,2.0,1:55,Steelers,Jerome Bettis 3 yard rush (Jeff Reed kick),17,3
4,2.0,0:07,Steelers,Hines Ward 17 yard pass from Ben Roethlisberger (Jeff Reed kick),24,3
5,3.0,3:36,Broncos,Ashley Lelie 30 yard pass from Jake Plummer (Jason Elam kick),24,10
6,4.0,13:38,Steelers,Jeff Reed 42 yard field goal,27,10
7,4.0,7:52,Broncos,Mike Anderson 3 yard rush (Jason Elam kick),27,17
8,4.0,2:59,Steelers,Ben Roethlisberger 4 yard rush (Jeff Reed kick),34,17
