,Quarter,Tm,Detail,CHI,BOS
0,1.0,Redskins,Jim Musick 2 yard rush (Jim Musick kick),0,7
1,1.0,Bears,Bill Karr unknown yard pass from Bernie Masterson (Jack Manders kick),7,7
2,2.0,Bears,Bill Karr unknown yard pass from Gene Ronzani (Jack Manders kick),14,7
3,2.0,Bears,Bernie Masterson 8 yard rush,20,7
4,2.0,Bears,Beattie Feathers unknown yard rush (Gene Ronzani kick),27,7
5,4.0,Bears,George Corbett 34 yard field goal,30,7
6,4.0,Redskins,Charley Malone 55 yard pass from Doug Nott (Jim Musick kick),30,14
