,Quarter,Time,Tm,Detail,NYG,PIT
0,1.0,3:04,Steelers,"Safety, Ereck Flowers penalty in end zone",0,2
1,1.0,0:04,Steelers,Randy Bullock 44 yard field goal,0,5
2,2.0,7:10,Steelers,Antonio Brown 22 yard pass from Ben Roethlisberger (pass failed),0,11
3,2.0,0:24,Steelers,Randy Bullock 34 yard field goal,0,14
4,3.0,6:30,Giants,Rashad Jennings 13 yard pass from Eli Manning (Robbie Gould kick),7,14
5,3.0,3:09,Steelers,Ladarius Green 20 yard pass from Ben Roethlisberger (Randy Bullock kick),7,21
6,4.0,1:39,Steelers,Randy Bullock 38 yard field goal,7,24
7,4.0,0:26,Giants,Sterling Shepard 1 yard pass from Eli Manning (Robbie Gould kick),14,24
