,Quarter,Tm,Detail,GNB,NYG
0,2.0,Giants,Red Badgro 22 yard pass from Benny Friedman (Benny Friedman kick),0,7
1,3.0,Giants,Benny Friedman 3 yard rush,0,13
2,3.0,Packers,Verne Lewellen 4 yard rush,6,13
