,Quarter,Time,Tm,Detail,TAM,TEN
0,1.0,8:02,Buccaneers,Connor Barth 43 yard field goal,3,0
1,1.0,7:47,Titans,Tommie Campbell 84 yard kickoff return (Rob Bironas kick),3,7
2,2.0,3:52,Titans,Rob Bironas 31 yard field goal,3,10
3,2.0,0:13,Buccaneers,Mike Williams 3 yard pass from Josh Freeman (Connor Barth kick),10,10
4,3.0,12:04,Buccaneers,Aqib Talib 27 yard interception return (Connor Barth kick),17,10
5,4.0,11:57,Titans,Rob Bironas 52 yard field goal,17,13
6,4.0,3:01,Titans,Damian Williams 2 yard pass from Matt Hasselbeck (Rob Bironas kick),17,20
7,4.0,1:44,Titans,Rob Bironas 38 yard field goal,17,23
