,Quarter,Time,Tm,Detail,NWE,BAL
0,1.0,,Patriots,Adam Vinatieri 22 yard field goal,3,0
1,2.0,,Ravens,Earnest Byner 4 yard rush (Matt Stover kick),3,7
2,2.0,,Patriots,Shawn Jefferson 7 yard pass from Drew Bledsoe (Adam Vinatieri kick),10,7
3,2.0,,Ravens,Michael Jackson 5 yard pass from Vinny Testaverde (Matt Stover kick),10,14
4,2.0,,Patriots,Ben Coates 1 yard pass from Drew Bledsoe (Adam Vinatieri kick),17,14
5,2.0,,Patriots,Adam Vinatieri 35 yard field goal,20,14
6,3.0,,Patriots,Mike Bartrum 1 yard pass from Drew Bledsoe (Sam Gash pass from Drew Bledsoe),28,14
7,3.0,,Patriots,Shawn Jefferson 35 yard pass from Drew Bledsoe (Adam Vinatieri kick),35,14
8,4.0,7:01,Patriots,Adam Vinatieri 50 yard field goal,38,14
9,4.0,7:01,Ravens,Derrick Alexander 16 yard pass from Vinny Testaverde (Michael Jackson pass from Vinny Testaverde),38,22
10,4.0,7:01,Patriots,Tedy Bruschi 4 yard blocked punt return (Ben Coates pass from Drew Bledsoe),46,22
11,4.0,7:01,Ravens,Earnest Byner 5 yard rush (Michael Jackson pass from Vinny Testaverde),46,30
12,4.0,7:01,Ravens,Michael Jackson 27 yard pass from Vinny Testaverde (Carwell Gardner run),46,38
