,Quarter,Tm,Detail,GNB,ATL
0,1,Packers,James Lofton 14 yard pass from Lynn Dickey (Jan Stenerud kick),7,0
1,1,Packers,Lynn Dickey 1 yard rush (Jan Stenerud kick),14,0
2,2,Packers,Paul Coffman 7 yard pass from Lynn Dickey (Jan Stenerud kick),21,0
3,2,Falcons,William Andrews 6 yard pass from Mike Moroski (Mick Luckhurst kick),21,7
4,2,Falcons,William Andrews 20 yard rush (Mick Luckhurst kick),21,14
5,2,Packers,Jan Stenerud 23 yard field goal,24,14
6,2,Falcons,Stacey Bailey 50 yard pass from Mike Moroski (Mick Luckhurst kick),24,21
7,3,Packers,Paul Coffman 20 yard pass from Lynn Dickey (Jan Stenerud kick),31,21
8,3,Falcons,Mick Luckhurst 44 yard field goal,31,24
9,4,Packers,Jan Stenerud 33 yard field goal,34,24
10,4,Falcons,William Andrews 1 yard rush (Mick Luckhurst kick),34,31
11,4,Falcons,Mick Luckhurst 22 yard field goal,34,34
12,4,Falcons,Kenny Johnson 26 yard interception return (Mick Luckhurst kick),34,41
13,4,Packers,Gerry Ellis 4 yard rush (Jan Stenerud kick),41,41
14,OT,Falcons,Kenny Johnson 31 yard interception return,41,47
