,Quarter,Tm,Detail,CRD,DET
0,1.0,Cardinals,Dixie Stokes 20 yard field goal,3,0
1,1.0,Lions,Harry Hopp 21 yard touchdown on a lateral (Augie Lio kick),3,7
2,2.0,Cardinals,Don Currivan 8 yard blocked punt return (Dixie Stokes kick),10,7
3,2.0,Lions,Harry Hopp 8 yard pass from Chuck Fenenbock (Augie Lio kick),10,14
4,2.0,Lions,Bill Callihan 17 yard pass from Frankie Sinkwich (Augie Lio kick),10,21
5,3.0,Lions,Harry Hopp 2 yard pass from Chuck Fenenbock (Augie Lio kick),10,28
6,3.0,Lions,Ned Mathews 5 yard rush (Sam Busich kick),10,35
7,4.0,Cardinals,Marshall Goldberg 9 yard pass from Joe Bukant (Dixie Stokes kick),17,35
