,Quarter,Tm,Detail,SFO,HOU
0,1.0,Oilers,Warren Moon 1 yard rush (Tony Zendejas kick),0,7
1,1.0,Oilers,Drew Hill 30 yard pass from Warren Moon (Tony Zendejas kick),0,14
2,2.0,49ers,Jerry Rice 6 yard pass from Joe Montana (Mike Cofer kick),7,14
3,3.0,49ers,John Taylor 78 yard pass from Joe Montana (Mike Cofer kick),14,14
4,3.0,Oilers,Haywood Jeffires 18 yard pass from Warren Moon (Tony Zendejas kick),14,21
5,4.0,49ers,Mike Cofer 23 yard field goal,17,21
6,4.0,49ers,John Taylor 46 yard pass from Joe Montana (Mike Cofer kick),24,21
