,Quarter,Tm,Detail,WAS,RAM
0,1.0,Redskins,Charley Taylor 86 yard pass from Sonny Jurgensen (Dick Absher kick),7,0
1,2.0,Rams,Dick Bass 2 yard rush (Bruce Gossett kick),7,7
2,2.0,Rams,Jack Snow 61 yard pass from Roman Gabriel (Bruce Gossett kick),7,14
3,2.0,Redskins,Jerry Smith 14 yard pass from Sonny Jurgensen (Dick Absher kick),14,14
4,3.0,Redskins,Jerry Smith 21 yard pass from Sonny Jurgensen (Dick Absher kick),21,14
5,3.0,Rams,Les Josephson 4 yard rush (Bruce Gossett kick),21,21
6,4.0,Redskins,Jerry Smith 39 yard pass from Sonny Jurgensen (Dick Absher kick),28,21
7,4.0,Rams,Bernie Casey 6 yard pass from Roman Gabriel (Bruce Gossett kick),28,28
