,Quarter,Time,Tm,Detail,SDG,CHI
0,1.0,8:33,Bears,Paul Edinger 38 yard field goal,0,3
1,2.0,9:27,Bears,Anthony Thomas 1 yard rush (Paul Edinger kick),0,10
2,3.0,4:27,Bears,Paul Edinger 22 yard field goal,0,13
3,4.0,9:13,Chargers,LaDainian Tomlinson 3 yard rush (Steve Christie kick),7,13
4,4.0,0:21,Bears,Anthony Thomas 1 yard rush (Paul Edinger kick),7,20
