,Quarter,Time,Tm,Detail,LAC,NOR
0,1,6:33,Chargers,Keenan Allen 17 yard pass from Justin Herbert (Michael Badgley kick failed),6,0
1,1,0:01,Saints,Wil Lutz 48 yard field goal,6,3
2,2,11:07,Chargers,Mike Williams 4 yard pass from Justin Herbert (Michael Badgley kick),13,3
3,2,4:30,Chargers,Hunter Henry 3 yard pass from Justin Herbert (Michael Badgley kick),20,3
4,2,0:16,Saints,Drew Brees 1 yard rush (Wil Lutz kick),20,10
5,3,4:57,Saints,Wil Lutz 53 yard field goal,20,13
6,4,11:29,Saints,Jared Cook 41 yard pass from Drew Brees (Wil Lutz kick),20,20
7,4,3:50,Chargers,Mike Williams 64 yard pass from Justin Herbert (Michael Badgley kick),27,20
8,4,0:58,Saints,Taysom Hill 9 yard rush (Wil Lutz kick),27,27
9,OT,5:11,Saints,Wil Lutz 36 yard field goal,27,30
