,Quarter,Time,Tm,Detail,GNB,LAC
0,1.0,7:00,Chargers,Michael Badgley 29 yard field goal,0,3
1,1.0,1:09,Chargers,Michael Badgley 40 yard field goal,0,6
2,2.0,0:05,Chargers,Michael Badgley 34 yard field goal,0,9
3,3.0,9:46,Chargers,Michael Badgley 43 yard field goal,0,12
4,3.0,3:59,Chargers,Melvin Gordon 1 yard rush (Michael Badgley kick),0,19
5,3.0,0:50,Packers,Mason Crosby 54 yard field goal,3,19
6,4.0,10:36,Chargers,Melvin Gordon 1 yard rush (Michael Badgley kick),3,26
7,4.0,6:27,Packers,Jamaal Williams 10 yard pass from Aaron Rodgers (Aaron Rodgers run),11,26
