,Quarter,Tm,Detail,CHI,RAM
0,1.0,Bears,Mike Ditka 13 yard pass from Billy Wade (Bob Jencks kick),7,0
1,2.0,Bears,Bennie McRae 35 yard interception return (Bob Jencks kick),14,0
2,2.0,Rams,Red Phillips 10 yard pass from Zeke Bratkowski (Danny Villanueva kick),14,7
3,2.0,Bears,Mike Ditka 25 yard pass from Billy Wade (Bob Jencks kick),21,7
4,2.0,Bears,Mike Ditka 2 yard pass from Billy Wade (Bob Jencks kick),28,7
5,3.0,Bears,Roger LeClerc 31 yard field goal,31,7
6,4.0,Rams,Dick Bass 4 yard rush (Danny Villanueva kick),31,14
7,4.0,Bears,Mike Ditka 14 yard pass from Rudy Bukich (Bob Jencks kick),38,14
8,4.0,Bears,Willie Galimore 2 yard rush (Bob Jencks kick),45,14
9,4.0,Bears,Bo Farrington 17 yard pass from Rudy Bukich (Bob Jencks kick),52,14
