,Quarter,Time,Tm,Detail,SDG,NWE
0,1.0,2:55,Chargers,Nate Kaeding 26 yard field goal,3,0
1,2.0,13:48,Patriots,Laurence Maroney 1 yard rush (Stephen Gostkowski kick),3,7
2,2.0,9:14,Chargers,Nate Kaeding 23 yard field goal,6,7
3,2.0,3:51,Patriots,Jabar Gaffney 12 yard pass from Tom Brady (Stephen Gostkowski kick),6,14
4,2.0,0:08,Chargers,Nate Kaeding 40 yard field goal,9,14
5,3.0,8:36,Chargers,Nate Kaeding 24 yard field goal,12,14
6,4.0,12:15,Patriots,Wes Welker 6 yard pass from Tom Brady (Stephen Gostkowski kick),12,21
