,Quarter,Time,Tm,Detail,SEA,CLE
0,1.0,13:05,Browns,Nick Chubb 7 yard rush (Austin Seibert kick),0,7
1,1.0,8:58,Seahawks,Russell Wilson 16 yard rush (Jason Myers kick failed),6,7
2,1.0,4:49,Browns,Baker Mayfield 10 yard rush (Austin Seibert kick),6,14
3,2.0,15:00,Browns,Ricky Seals-Jones 31 yard pass from Baker Mayfield (Austin Seibert kick failed),6,20
4,2.0,10:49,Seahawks,Jason Myers 38 yard field goal,9,20
5,2.0,7:28,Seahawks,Jason Myers 20 yard field goal,12,20
6,2.0,0:27,Seahawks,Jaron Brown 17 yard pass from Russell Wilson (run failed),18,20
7,3.0,6:07,Seahawks,Jaron Brown 6 yard pass from Russell Wilson (Jason Myers kick),25,20
8,4.0,9:06,Browns,Nick Chubb 3 yard rush (Demetrius Harris pass from Baker Mayfield),25,28
9,4.0,3:33,Seahawks,Chris Carson 1 yard rush (Jason Myers kick),32,28
