,Quarter,Time,Tm,Detail,MIA,DEN
0,1.0,,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),0,7
1,1.0,,Broncos,Terrell Davis 20 yard rush (Jason Elam kick),0,14
2,2.0,,Dolphins,Olindo Mare 22 yard field goal,3,14
3,2.0,,Broncos,Derek Loville 11 yard rush (Jason Elam kick),3,21
4,3.0,,Broncos,Jason Elam 32 yard field goal,3,24
5,4.0,,Broncos,Rod Smith 28 yard pass from John Elway (Jason Elam kick),3,31
6,4.0,,Broncos,Neil Smith 79 yard defensive fumble return (Jason Elam kick),3,38
