,Quarter,Time,Tm,Detail,TAM,DET
0,1.0,,Buccaneers,Michael Husted 20 yard field goal,3,0
1,3.0,,Lions,Derrick Moore 1 yard rush (Jason Hanson kick),3,7
2,3.0,,Buccaneers,Michael Husted 41 yard field goal,6,7
3,3.0,,Lions,Herman Moore 9 yard pass from Dave Krieg (Jason Hanson kick),6,14
4,4.0,,Buccaneers,Michael Husted 34 yard field goal,9,14
