,Quarter,Time,Tm,Detail,CHI,DET
0,1.0,3:06,Lions,Jason Hanson 31 yard field goal,0,3
1,2.0,11:30,Lions,Kevin Jones 1 yard rush (Jason Hanson kick),0,10
2,2.0,5:50,Lions,Jason Hanson 39 yard field goal,0,13
3,2.0,0:00,Lions,Jason Hanson 34 yard field goal,0,16
4,3.0,3:40,Bears,Lance Briggs 38 yard interception return (pass failed),6,16
5,4.0,11:29,Lions,Jason Hanson 40 yard field goal,6,19
6,4.0,7:04,Bears,Jason McKie 15 yard pass from Chad Hutchinson (Paul Edinger kick),13,19
