,Quarter,Time,Tm,Detail,NWE,MIN
0,1.0,10:54,Vikings,Matt Asiata 25 yard pass from Matt Cassel (Blair Walsh kick),0,7
1,1.0,6:14,Patriots,Stevan Ridley 1 yard rush (Stephen Gostkowski kick),7,7
2,1.0,0:32,Patriots,Stephen Gostkowski 48 yard field goal,10,7
3,2.0,9:30,Patriots,Julian Edelman 9 yard pass from Tom Brady (Stephen Gostkowski kick),17,7
4,2.0,0:09,Patriots,Chandler Jones 58 yard blocked field goal return (Stephen Gostkowski kick),24,7
5,3.0,8:32,Patriots,Stephen Gostkowski 47 yard field goal,27,7
6,4.0,14:57,Patriots,Stephen Gostkowski 27 yard field goal,30,7
