,Quarter,Tm,Detail,MIN,DET
0,1.0,Lions,Earl McCullouch 15 yard pass from Bill Munson (Errol Mann kick),0,7
1,1.0,Vikings,Fred Cox 27 yard field goal,3,7
2,1.0,Vikings,Bobby Bryant 39 yard interception return (Fred Cox kick),10,7
3,2.0,Lions,Larry Walton 13 yard pass from Bill Munson (Errol Mann kick),10,14
4,2.0,Vikings,Bill Brown 6 yard pass from Gary Cuozzo (Fred Cox kick),17,14
5,2.0,Vikings,Gene Washington 41 yard pass from Gary Cuozzo (Fred Cox kick),24,14
6,2.0,Lions,Errol Mann 11 yard field goal,24,17
7,3.0,Vikings,Fred Cox 10 yard field goal,27,17
8,4.0,Vikings,Fred Cox 36 yard field goal,30,17
