,Quarter,Time,Tm,Detail,BAL,PIT
0,1.0,9:07,Steelers,Kris Brown 21 yard field goal,0,3
1,1.0,3:49,Steelers,Amos Zereoue 1 yard rush (Kris Brown kick),0,10
2,2.0,5:43,Steelers,Amos Zereoue 1 yard rush (Kris Brown kick),0,17
3,2.0,3:46,Steelers,Kris Brown 46 yard field goal,0,20
4,2.0,0:51,Ravens,Matt Stover 26 yard field goal,3,20
5,3.0,7:18,Ravens,Jermaine Lewis 88 yard punt return (Matt Stover kick),10,20
6,4.0,14:11,Steelers,Plaxico Burress 32 yard pass from Kordell Stewart (Kris Brown kick),10,27
